1	Beijing	Best time to visit is April to May(spring). Pack Woolen jackets or layered clothing for the cold evenings. Summers are warm and very wet. Carry light cotton and rain proof gear. Winters are very cold and warm protective clothing is a must.	Mandarin to English dictionary is a must. Confortable walking shoes should be carried along.	Buses cover Beijing extensively however subways are also convenient and less time consuming.	Airport shuttles are conveniently available tog et to the city centre. Buses for each route leave every 10-30 minutes. Fare is ¥16 for a one-way trip. Taxis for the more affluent are also available.	Beijing Roast Duck or Peking Roast Duck is world famous recipe. One of the famous local restaurants is Quanjude. Info available at : http://www.thebeijinger.com/directory/quanjude	Many tours are available in and around Beijing. Tiananmen square, Great Wall of China, Forbidden City, etc. 3-4 days tour will likely cost around US $250 for budget off season travel to upto US $500 for luxury peak season.  http://www.tour-beijing.com/	"The Zoo Market around Beijing Zoo, Xizhimen Waidajie, Xicheng District is a good place to pick up local items.Tel: 010-68312001 Opening Hours: 9am-5pm "	Local language is Mandarin. A pocket dictionary is helpful. Many tourists prefer to hire an interpretor for the course of their stay.	Some important telephone numbers are: 110 -Poilice, 119- Fire, 120- Ambulance, 6513 0828- Tourist Hotline. Beijing has a lot of telephone booths which accept International calling cards.	Bicycle hire shops can be found anywhere. Ice-skating can be done in Beijing lake. Visitors can take up the ancient shadow art of Tai Chi that is practised in most towns particularly in early morning hours. For more visit:http://www.at0086.com/rank/en-us/20081220151230796.html  	Master card, Visa, American Express, JCB and Diners are accepted credit cards in major hotels and shopping emporiums. Banks are a safe place to convert forex exchange in Beijing.
2	Cape Town 	It is recommended one carry clothes that are cool, light and comfortable during the summer months - October to May. May to September are the moderate winter months. A wollen jacket and some rain proof gear will be appropiate. 	Hat, sunglasses and sunblock are recommended as the sun can be strong even in the winter months.	One can explore the city by buses and trains.Cars can also be rented For more information visit http://www.tourismcapetown.co.za/ctru/content/en/za/full-article?oid=4641&sn=Detail&pid=2826&Getting-about-Cape-Town---Western-Cape-by-Bus---Train	Shuttle bus services offer an excellent way to reach the city center from the airport.	One should taste African Food which is mostly centred around meat, beef in particular. The other traditional helpings maybe maize porriage and mixed stew.Deserts include Melkterts, Koeksisters and Malva pudding among others. The Africa Cafe and Mamma Africa are two popular restaurants.	Many tours are available for popular  tourist spots like the South African Museum and Company Gardens, The Castle of Good Hope, Clifton and Camps Bay beaches and Table Mountain. Tours run in French and German. Other languages are accommodated on request.	The weekend Bay Harbour Market at Harbour Rd is a very popular local shopping destnation. Its open on Sundays between 9:30 am – 4:00 pm	Local languages- English, Afrikaans and Xhosa	107 is a single emergency telephone number for use by all people living in and visiting Cape Town	Popular activities include visiting Blaauwberg Beach and Kite Surfing. One can also Charter a yatcht for some private fun. For more info-http://www.capetown.travel/activities/category/adventure	All international debit and credit cards are accepted. Most gas stations only accept cash. Banks are also available to exchange cash.
3	Jakarta	For most of the year, summer clothing (lightweight, cotton clothing) is suitable, although warmer garments may be required in the rainy seasons and air-conditioned offices, hotels and shopping malls.Traditional clothes are kebaya and batik.	Travel health insurance, travel guide for the city 	It's advisable to refrain from using other buses for intracity travel however TJ - Transjakarta Busway may be used. Stick with taxis as they are safer,cheap and occasionally even fast. Traffic is very heavy and unpredictable.	Any half decent hotel in Jakarta will provide you with a free airport pick up. Nice taxis can be booked from the airport counters who also sell SIM cards. Avoid touts outside the airport.	A soup, salad or the more commonly sauteed vegetables with garlic is accompanied by at least one and often several delicacies which are known as sambals. Kafe Tenda & Tented Cafés- located along the major through fares, The Gading Batavia Food Promenade at Jalan Boulevard Barat and Kelapa gading in north Jakarta are very good restaurants.  http://www.indonesia-tourism.com/jakarta/restaurant.html	Ancol Bay area is easily accessible by bus and car. Trains also ply during the weekends. Ancol Fun park is a nice place to spend a day. The Sea World comes highly recommended and will cost you and additional Rp 80,000 to explore.	There is an open air art market in the big Ancol fun park. The market is open from Monday to Saturday, 2 p.m. to 9 p.m. and on Sunday from 10 a.m. to 9 p.m. The overall experience is very nice and entertaining.	Local language is Betawi which is very different from English though it uses the same script. Major tourist spots and malls will have people speaking in English	Police Department: 110,Fire Department:113,Medical Assistance:118 or 119	National Museum,Taman Mini Indonesia Indah, (Beautiful Indonesia in little park),Gedung Kesenian Jakarta, (Jakarta Arts Theater) are some things which you can check out while in Jakarta.	Most ATMs now accept Mastercard, Visa, Cirrus and Maestro. Confirm with your bank at home to ensure you can use the ATM facilities in Indonesia and also what charges apply.
4	Seoul	Packing light cotton clothing, shorts and Tshirts is recommended for a visit to Seoul.	Carrying suntan lotion and sunglasses is recommended. It is advisable to carry shoes that are easy to take off in restaurants.	Taxis are a popular form of public transportation in Korea	Limosine buses are a good investment if you are visiting Seoul for the first time to get to the city center though they maybe charging 60% more than regular buses. 	Pap (rice), kuk (soup), kimch'I are the common Korean dishes available. Goldfish and Goseumdochi are two excellent restaurants for local food. There are some good options available for pizzas and mexican food also. 	Seoul has 5 amusement parks on offer. Seoul land(good events) at Seoul Grand Park Station, Lotte World (Shopping and activiteis complex) at Jamsil Station, Everland (good themed parks), Dreamland (located inside Seoul) and Yongma Land(excellent waterfalls).	Myong-dong is the main shopping area.Located in downtown Seoul, there are four major department stores staffed by clerks who can speak either English or Japanese.	Local language- Korean	Emergency Rescue (Fire & Ambulance) 119, Medical Emergency 129, Police 112.	You can use US dollars at duty-free shops and in some tourist shops in Itaewon, You will need Korean won everywhere else. Many banks in Seoul offer good foreign-exchange rates. Itawoeon has many licensed currency converters who may be used.
5	Pune	Sarees, western outfits and light cotton clothing should be carried around the year.	 Carrying scarf  is recommended to avoid polution. One should also carry sun screen and sun glasses. Drink bottles or filtered drinking water only.	A daily bus pass would cost less than US $ 1.2. More information is available at :http://www.pmpml.org/Passes.php. Autos are also available to get you around the city.	Bus or private rikshaws are available to take you to the city centre. Decide upon the auto fair before hiring. Prepaid/ Radio taxis are also available at the airport.	Puran Poli, Bhakri , Pital(a flour-based curry) are local delicacies. Pune has a sizeable students population and a decent pub culture. Smokeys and ABC Farms are two popular places one can visit.	Must see- Dagadusheth Halwai Ganapati temple. Route - Bus to Shivajinagar station[Centre of City]->Bus to Appa Balawant Chawk. The 32 acre Osho Ashram at Koregaon Park is also popular among the tourists.	Local markets are at Tulshibaug, MG road and FC road. Opening time- 10 am- 10pm. Markets are closed on Mondays. Major mallsin the city are Inox, City Pride, Central mall.	Hindi and Marathi are the two official languages. English is also widely spoken and understood.	 Help:199, Police:100	Lonavla and Mumbai are not too far from Pune. Lonavla has many adventure sports opportunities available. A car may be rented with or without a driver to explore the neighbouring areas. Decide on the fare before hiring.	One can find Thomas Cook in the city. More info can be had from: http://www.justdial.com/Pune/foreign-exchange. All debit and credit cards with Mastercard or Visa will work in the city.
6	Rome	T-shirts and jeans or other light clothes are recommended for men and women in the summers whereas the winters can be really cold and require warm wollen clothes.	One should carry hats and sunglasses along with comfortable walking shoes to explore the city. A good city map which details the many attractions and supplementary information is a must while exploring.	Rome's bus network is extensive and functions quite well, but the metro (subway) is much simpler.Public transportation tickets(daily pass) must be purchased in advance from tabacchis, newsstands, bars, or vending machines (exact change only) at metro and major bus stops.	"The Leonardo Express is the direct train that serves the route between the airport and the centre of the city of Rome every 30 minutes. The bus line Terravision Shuttle Bus serves the route between the airport and the central station of Rome, Termini. Tickets: euro 9 single or euro 15 return, 70 minutes, 5 stops, 7 services a day."	Local delicacy- gnocchi and cuttlefish with snow peas. Da Lucia is a major restaurant. Rome also has many inexpensive deals going on in restaurants where meals - 2-3 items - are clubbed and sold at a discounterd rate. A wide variety of cuisines are available in Rome.	Vatican City, Colloseum, Fountain Trevi at night and many many more must see sights are there is Rome. Do not be fooled by the companies offering guided tours where they offer to jump the queues at Vatican and the Colloseum. Most of the days the Queues are small. Go for an audio guide if you want to know more about a place. Fully guided tours are steeply priced and a luxury but a lot more exciting if you can afford it.	Local market- Campo de’ Fiori. Opening hours- Monday – Saturday7.00 AM- 1.30 PM	Major language is Italian. English is widely spoken and understood.	Police (Carabineri)  112, Medical emrgency-118	Trevi Fountain is a personal favourite at night. Beware of people trying to sell you roses or offering to take snaps of you. Lanes near the fountain have artists making and selling beautiful spray paintings for as low as Euros 10. 	Money exchangers like Thomas Cook and American Express are available. Banks are the preferred place for exchanging money. Cirrus, Mastercard, Visa and American Express cards will work.
7	New York City	Best Season is spring and fall: Casual clothes with a jacket for the evenings. Summer are pretty warm - no jacket required. Winter (Christmas and New Years celebrations) : Temperature can be around -10 degrees. Need multilayer warm clothing. 	GPS/ smart phone, Sun block, hat, water, cash (at some places, card wont work) are the recommended things to carry while exploring the city.	Using the local transport is recommended- cabs, subways, buses, ferry, etc. . All the major tourist spots are connected by Subways.It is not advisable to take your own car.	AirTrain JFK connects to the city subways and the buses from the airport and is the most preferred and convenient way to reach anywhere in the city.	"NYC has specialties in all sorts of cuisines. Indian, Chinese, Korean, American, Mexican, Thai, Etheopian, etc. Some of them are:  Indian food: Lexington Avenue (Tiffin wallah); Chinese food: China Town; Korean food: Korea town;Mexican: Chipotle (chain); Thai: Noodies Thai Kitchen Inc; Etheopian: Mesob"	Must see- Empire State Building, Times Square, Broadway, Top of the Rock (Rockefeller Center): All these landmarks are a short walk from the respective train/ bust stations.	Bloomingdale's is a major and extremely popular departmental store. Opening hours 8 am- 10 pm	170+ languages are spoken in NYC. English is the one commonly used.	911 - The American Emergency hotline.	Broadway theaters are truly an amazing experience. Read up a little on the performance before catching a show.Many hiking and biking options are available in and around NYC.	Banks are the preferred place for money exchange. Amex, Visa, Mastercard and Cirrus will work.
8	Cologne	 June till September(summer) is the best time to visit. Carrying  light clothes as it will be warm. Winters are cold like the rest of Europe and warm wollen clothes are required.	Carrying an umbrella is recommended.	Cologne has an extensive local transport system called the U-Bahn. A weekly pass can be purchased for all local transport. Routes, maps and fare details can be found on www.kvb-koeln.de	There are regular trains from the airport to the city centre. The main railway station is in the heart of the city centre.	Locally brewed beer, known as Kolsch, is very popular in Cologne. Some good breweries where one can get this beer are Gaffel and Reissdorf	The Cologne Cathedral (called as Dom) is the city's main landmark. It is located right in the city centre.Another popular attraction is the Seilbahn, which is a cable car that crosses the river Rhine. It can be easily reached by the local train.	Schildegasse is the main shopping area in Cologne. A good time for shopping in Cologne is during the four weeks before Christmas when a lot of Christmas markets come up in town.	The local language is German, although English is often spoken by youngsters and people working in tourist sites. Some important phrases to remember are 'Hallo', 'Danke' (Thank You), 'Entschuldigung' (Excuse me). The main station is called the 'Hauptbahnof'.	110- Police, 112 - Fire and Ambulance	Cologne has a large student population and hence has a vibrant nightlife. There is a national park nearby where one can go for a hike. Also there is a go-karting track, owned by Michael Schumacher, in nearby Kerpen.	Currency exchange can be done in Travelex.  Most standard bank cards will work. 
9	Paris	June to September is ideal due to pleasant weather. Should pack a light jacket and an umbrella.	Carrying a hat and sunglasses is recommended. A good city metro map is also important. 	All tourists must buy a travel pass. Available according to the duration of a tourists stay, it allows unlimited use of all 4 modes of transport - bus, metro, suburban trains and tram. It is advisable to check the zones while buying depending on what you plan to visit-Zones 1 and 2 will suffice for Paris. Travel passes are available at all metro and train stations.	From CDG airport one can take either a suburban train, bus or taxi to get to Paris. All major train stations are within Paris itself.	Impossible to list a particular restaurant, there are too many. Must have a steak with fries in Paris. Also not to be missed are the pastries and the variety of cheeses. Sancerre is one of the best wines money can buy. Doner Kebabs from Arabian outfits are available across the city for low budget meals.	Must visit-Eiffel tower, Sacre Couer, Arc de Triomphe, Concorde square, Louvre Museum and Notre Dam. All are easily accessible to bus and metro. 	Famous local market is at Sevres Babylone, which is also the name of the metro station. Expect super fresh foods, fruits and meats on sale. Chatelet also offers a variety of shopping options. Champs -de - Elysee offers all the premium brands- Cartier to Prada on a single street.	French- Bonjour - hello, good morning ,S'il vous plait - please, Merci - thank you,Au revoir - goodbye, Désolé je ne parle pas francais - sorry I don't speak French. Parle Vous Englais - Do you speak English?	17 - to call police or ambulance	All pubs and clubs are near the Champs Élysées. Must also see the Moulin Rouge and the Lido show.	One can change money anywhere near Saint Michel in the 5th district of Paris. Most of the shops accept Visa and Mastercard.
10	London	June to September is the best time to visit. Must carry a raincoat or umbrella as rains are very unpredictable and frequent.	Carying rainproof gear cannot be overly emphasized. There is no rainy season and it my rain anytime.	Buying an oyster travel pass is recommended. Gives a wide variety of transport options but  it should be kept in mind that even public transport is expensive in London.	Heathrow and Gatwick airports connect to the city through suburban trains. Taxis are also available for the affluent.	Bangers and mash, cucumber sandwiches and scones are all delicious and widely available. London has too many restaurants to list a few good ones. Prior booking for a famous restaurant is recommended.	Westminster Abbey, Big Ben, St Pauls Cathedral, Madame Tussauds and London eye are worth visiting. 	At over a mile long Walthamstow Market is the longest street market in England, selling a wide variety of goods including fabrics, high-street clothing and books. Food stalls serve up everything from local cockney grub to tastes of the Caribbean.Open: Mon to Fri 9am-4pm, Sat 9am-5pm.  At High Street, Waltham Forest, London, E17	English	In an emergency, telephone '999' (or '112'). This number connects to Police, Ambulance and Fire/Rescue services	Soho and Piccadilly have great nightlife.	All traders on Regent Street offer superb rates
